[16:42] Page: login | IP: ::1 | Input: {"username":"sadwq","password":"asdwq","remember":false}
[16:42] Page: login | IP: ::1 | Input: {"username":"sadwq<>","password":"asdwq","remember":false}
[16:43] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":true}
[16:43] Page: GET_category | IP: ::1 | Input: {"category":"Sport"}
